Standard ID,Standard Name,Safety Requirements Description,Standard Level,Equipment Type
357,Sanitation Requirements,All equipment must meet sanitation guidelines.,Local,Bench Press
358,Mechanical Integrity,All equipment must be labeled with instructions and warnings.,International,Bench Press
359,Electrical Safety,Structures must be checked for durability and load limits.,International,Treadmill
360,Sanitation Requirements,Noise levels must remain within safe decibel ranges.,International,Treadmill
361,Electrical Safety,Ensure all equipment is properly grounded and free from electrical hazards.,International,Rowing Machine
362,Fire Prevention,Noise levels must remain within safe decibel ranges.,International,Dumbbells
363,Noise Control,Surfaces must have anti-slip materials installed.,International,Rowing Machine
364,Emergency Access,Regular checks for wear and tear to maintain mechanical safety.,International,Treadmill
365,Slip Resistance,Regular checks for wear and tear to maintain mechanical safety.,Local,Elliptical
366,Sanitation Requirements,Implement fire extinguishers and alarms in appropriate locations.,Local,Dumbbells
367,Fire Prevention,All equipment must meet sanitation guidelines.,International,Treadmill
368,Electrical Safety,All equipment must be labeled with instructions and warnings.,Local,Rowing Machine
369,Fire Prevention,Clear and accessible emergency exits with proper lighting.,Local,Rowing Machine
370,Structural Stability,All equipment must be labeled with instructions and warnings.,International,Treadmill
371,Ventilation Standards,Clear and accessible emergency exits with proper lighting.,International,Rowing Machine
372,Mechanical Integrity,Ensure all equipment is properly grounded and free from electrical hazards.,Local,Bench Press
373,Slip Resistance,All equipment must meet sanitation guidelines.,International,Rowing Machine
374,Fire Prevention,Implement fire extinguishers and alarms in appropriate locations.,International,Treadmill
375,Fire Prevention,All equipment must meet sanitation guidelines.,Local,Rowing Machine
376,Ventilation Standards,Implement fire extinguishers and alarms in appropriate locations.,International,Elliptical
377,Mechanical Integrity,Implement fire extinguishers and alarms in appropriate locations.,International,Dumbbells
378,Noise Control,All equipment must be labeled with instructions and warnings.,Local,Treadmill
379,Sanitation Requirements,Implement fire extinguishers and alarms in appropriate locations.,International,Rowing Machine
380,Ventilation Standards,Adequate airflow and air quality must be ensured.,Local,Treadmill
381,Structural Stability,Adequate airflow and air quality must be ensured.,Local,Treadmill
382,Mechanical Integrity,Surfaces must have anti-slip materials installed.,Local,Elliptical
383,Electrical Safety,Ensure all equipment is properly grounded and free from electrical hazards.,International,Dumbbells
384,Equipment Labeling,Implement fire extinguishers and alarms in appropriate locations.,Local,Elliptical
385,Slip Resistance,Clear and accessible emergency exits with proper lighting.,Local,Elliptical
386,Electrical Safety,Structures must be checked for durability and load limits.,Local,Elliptical
387,Equipment Labeling,Surfaces must have anti-slip materials installed.,International,Rowing Machine
388,Equipment Labeling,All equipment must be labeled with instructions and warnings.,Local,Dumbbells
389,Mechanical Integrity,Adequate airflow and air quality must be ensured.,Local,Rowing Machine
390,Mechanical Integrity,All equipment must meet sanitation guidelines.,International,Treadmill
391,Structural Stability,Adequate airflow and air quality must be ensured.,International,Treadmill
392,Fire Prevention,Regular checks for wear and tear to maintain mechanical safety.,International,Dumbbells
393,Fire Prevention,Adequate airflow and air quality must be ensured.,Local,Elliptical
394,Fire Prevention,Noise levels must remain within safe decibel ranges.,International,Elliptical
395,Equipment Labeling,Regular checks for wear and tear to maintain mechanical safety.,Local,Treadmill
396,Electrical Safety,Surfaces must have anti-slip materials installed.,Local,Rowing Machine
397,Mechanical Integrity,Clear and accessible emergency exits with proper lighting.,Local,Elliptical
398,Mechanical Integrity,Regular checks for wear and tear to maintain mechanical safety.,International,Treadmill
399,Sanitation Requirements,All equipment must meet sanitation guidelines.,Local,Bench Press
400,Mechanical Integrity,All equipment must be labeled with instructions and warnings.,Local,Rowing Machine
